"name"	"attr"	"type"
"PetyrBaelish"	"LordSnow"	"firstseen"
"PetyrBaelish"	"JoffreyBaratheon"	"titles"
"PetyrBaelish"	"Littlefinger"	"alsoknownas"
"PetyrBaelish"	"Alive"	"status"
"PetyrBaelish"	"The"	"origin"
"PetyrBaelish"	"HouseBaelish"	"allegiance"
"PetyrBaelish"	"LordofHarrenhal"	"predecessor"
"PetyrBaelish"	"MasterofCoin"	"successor"
"PetyrBaelish"	"Braavos"	"culture"
"PetyrBaelish"	"Baelish(fatherofPetyr)"	"father"
"PetyrBaelish"	"LysaArryn"	"spouse"
"RobertBaratheon"	"YouWinorYouDie"	"lastseen"
"RobertBaratheon"	"The"	"mentionedin"
"RobertBaratheon"	"Lord"	"titles"
"RobertBaratheon"	"Usurper"	"alsoknownas"
"RobertBaratheon"	"Dead"	"status"
"RobertBaratheon"	"CerseiLannister"	"death"
"RobertBaratheon"	"Storm'sEnd"	"origin"
"RobertBaratheon"	"House"	"allegiance"
"RobertBaratheon"	"KingoftheAndals,theRhoynar,andtheFirstMen"	"predecessor"
"RobertBaratheon"	"KingoftheAndals,theRhoynar,andtheFirstMen"	"successor"
"RobertBaratheon"	"Andal"	"culture"
"RobertBaratheon"	"FaithoftheSeven"	"religion"
"RobertBaratheon"	"SteffonBaratheon"	"father"
"RobertBaratheon"	"CassanaBaratheon"	"mother"
"RobertBaratheon"	"CerseiLannister"	"spouse"
"RobertBaratheon"	"TommenBaratheon"	"children"
"RobertBaratheon"	"RenlyBaratheon"	"siblings"
"StannisBaratheon"	"TheNorthRemembers"	"firstseen"
"StannisBaratheon"	"Mother'sMercy"	"lastseen"
"StannisBaratheon"	"RobertBaratheon"	"titles"
"StannisBaratheon"	"ThePrinceThatWasPromised"	"alsoknownas"
"StannisBaratheon"	"Dead"	"status"
"StannisBaratheon"	"BrienneofTarth"	"death"
"StannisBaratheon"	"Storm'sEnd"	"origin"
"StannisBaratheon"	"HouseBaratheon"	"allegiance"
"StannisBaratheon"	"MasterofShips"	"successor"
"StannisBaratheon"	"Andal"	"culture"
"StannisBaratheon"	"FaithoftheSeven"	"religion"
"StannisBaratheon"	"SteffonBaratheon"	"father"
"StannisBaratheon"	"CassanaBaratheon"	"mother"
"StannisBaratheon"	"SelyseFlorent"	"spouse"
"StannisBaratheon"	"EdricBaratheon"	"children"
"StannisBaratheon"	"RenlyBaratheon"	"siblings"
"StannisBaratheon"	"Melisandre"	"lovers"
"TommenBaratheon"	"The"	"lastseen"
"TommenBaratheon"	"Lord"	"titles"
"TommenBaratheon"	"TommenoftheHouseBaratheonthe"	"alsoknownas"
"TommenBaratheon"	"Dead"	"status"
"TommenBaratheon"	"TommenBaratheon"	"age"
"TommenBaratheon"	"TommenBaratheon"	"dateofbirth"
"TommenBaratheon"	"RedKeep"	"death"
"TommenBaratheon"	"King'sLanding"	"origin"
"TommenBaratheon"	"FaithoftheSeven"	"allegiance"
"TommenBaratheon"	"JoffreyBaratheon"	"predecessor"
"TommenBaratheon"	"CerseiLannister"	"successor"
"TommenBaratheon"	"Andal"	"culture"
"TommenBaratheon"	"FaithoftheSeven"	"religion"
"TommenBaratheon"	"RobertBaratheon"	"father"
"TommenBaratheon"	"CerseiLannister"	"mother"
"TommenBaratheon"	"MargaeryTyrell"	"spouse"
"TommenBaratheon"	"Baratheon(sonofRobert)"	"siblings"
"BrienneofTarth"	"WhatisDeadMayNeverDie"	"firstseen"
"BrienneofTarth"	"BriennetheBeauty,The"	"alsoknownas"
"BrienneofTarth"	"Alive"	"status"
"BrienneofTarth"	"EvenfallHall"	"origin"
"BrienneofTarth"	"RenlyBaratheon"	"allegiance"
"BrienneofTarth"	"Andal"	"culture"
"BrienneofTarth"	"FaithoftheSeven"	"religion"
"BrienneofTarth"	"SelwynTarth"	"father"
"SandorClegane"	"TheHound,Dog"	"alsoknownas"
"SandorClegane"	"Alive"	"status"
"SandorClegane"	"Clegane'sKeep"	"origin"
"SandorClegane"	"Ray"	"allegiance"
"SandorClegane"	"Andal"	"culture"
"SandorClegane"	"GregorClegane"	"siblings"
"Gilly"	"TheNorthRemembers"	"firstseen"
"Gilly"	"Alive"	"status"
"Gilly"	"Westeros"	"origin"
"Gilly"	"FreeFolk"	"culture"
"Gilly"	"Craster"	"father"
"Gilly"	"Craster"	"spouse"
"Gilly"	"Sam"	"children"
"Gilly"	"Craster'swives"	"siblings"
"Gilly"	"SamwellTarly"	"lovers"
"JaqenH'ghar"	"FireandBlood"	"firstseen"
"JaqenH'ghar"	"NoOne"	"lastseen"
"JaqenH'ghar"	"Alive"	"status"
"JaqenH'ghar"	"Braavos"	"origin"
"JaqenH'ghar"	"FacelessMen"	"allegiance"
